FEN,Evaluation
2R5/3r3p/p4pp1/p1b5/2k3PP/4B3/4KP2/8 b - - 1 38,-184
r2q2k1/p1p3Pp/1bQ2r2/3p4/3P4/4B3/PP3P1P/R3K2R w KQ - 1 18,-5
rr4k1/1ppn1bb1/p2q2pp/P2P1p2/2B5/1Q2BN2/1P3PPP/2RR2K1 w - - 0 26,121
2r2rk1/1bpnqppp/1p6/p2p4/P2P4/1P1BPN2/R2Q1PPP/5RK1 b - - 0 16,21
rnbqr1k1/1p3pbp/p2p1np1/2pP2B1/P3P3/2N5/1P1QBPPP/R3K1NR w KQ - 1 11,-12
6k1/8/p2p4/1b1PbBp1/1p6/1Pr5/P4KR1/3R4 w - - 0 40,124
r2q1rk1/1p2n1pp/1bn1bp2/pP1p4/4p3/P3P3/1BPNBPPP/R2QNRK1 b - - 0 14,-56
rn1qkb1r/pp2pppp/2p2n2/3p4/6b1/1P3NPP/PBPPPP2/RN1QKB1R b KQkq - 0 5,-17
rnbqk2r/ppp2ppp/4pn2/3p4/QbP5/4PN2/P2P1PPP/RNB1KB1R b KQkq - 1 5,-33
2qr2k1/1pr2pbp/p1pnp1p1/P1N5/1P1PP3/3R3P/2Q2PP1/2BR2K1 b - - 0 32,113
2kr2r1/pp1b1pbp/1q1ppn2/2pP1p2/2P5/P1NBPN1P/1PQ2PP1/R4RK1 b - - 0 14,49
1k2b2r/p2qr3/1pp2p2/3p3P/2PPpP2/8/PPQ1B3/1K2R2R b - - 0 30,-27
8/1p3k1N/7P/6p1/3PP3/6P1/p5K1/8 w - - 0 54,-193
8/8/4p1b1/p7/1P1k4/6K1/7P/3B4 w - - 0 44,220
1k1r4/8/p4pN1/1n1q1P1P/1Qrp4/8/P7/1K1RR3 w - - 0 40,-485
r3k1r1/pp2b2p/2pn3B/4R1N1/3PP3/7P/PP6/R5K1 b q - 6 26,-128
2r3k1/p4p2/6q1/2rp1p1p/4n2R/2BQP1P1/PPR4P/6K1 w - - 4 28,-30
1k1rq3/pp3r2/Q1bp3p/2pN1p2/2P3p1/1R2P1P1/P4P2/1R4K1 b - - 9 32,-166
r1bq1rk1/p2nppbp/1pp2np1/3p4/2PP4/1PNBPN2/PB3PPP/R2QK2R w KQ - 0 9,15
1nr3k1/1pp1rpq1/3p2p1/1B1P3p/1PR4P/2R1P1P1/Q4P1K/8 b - - 12 41,82
1rbq1r2/p1n1npbk/6pp/1pN1p3/PP1pP3/3P1NP1/3B1PBP/R1Q2RK1 w - - 1 16,34
3q2kb/5p1p/2bBp1pP/1p1pP1P1/r1rP2N1/3RQ3/5PK1/1R6 b - - 14 43,249
1rbqk1nr/4ppbp/p1np2p1/2p5/1p2PP2/2NPBNP1/PPPQ2BP/R3K2R w KQk - 0 10,-34
r2q1rk1/1bpn1pbp/1p1pp1p1/pN6/2PPn3/1P2PN2/PBQ1BPPP/R2R2K1 b - - 5 14,47
rn2kb1r/ppq2ppp/2p1pn2/2Pp1b2/3P4/1QN1PN2/PP3PPP/R1B1KB1R w KQkq - 1 8,-48
2r5/5kb1/4Np1p/pp1N1Pp1/2nP4/2P3P1/R7/1r4BK w - - 0 37,-319
2r3k1/1Qpq1pb1/1p4pp/3p1n2/1P1P4/P3PN2/1B3PPP/2R3K1 b - - 1 25,81
1r6/5Bbk/6p1/7p/P2N2b1/1P6/1B4R1/5qK1 w - - 0 33,160
5k2/5pp1/p6p/8/N4KP1/P1R2P2/1r4b1/8 b - - 0 43,-41
2brn1k1/4qpbp/2p3p1/p1P5/P2pP3/4N1P1/1BQ2P1P/3RR1K1 w - - 0 26,149
5k2/p5p1/R3p2p/3bB3/PP3K2/8/2r3PP/8 b - - 0 36,-34
2rq1rk1/1b1nbppp/p3pn2/8/PpNN4/1P2P3/1B2BPPP/R2Q1RK1 b - - 0 15,-12
r4rk1/3b1ppp/2pq4/pp2R3/3P4/PB6/1P1Q1PPP/4R1K1 b - - 0 23,65
5rk1/pq3pbp/2p3p1/2P5/1PQr2N1/PB5P/5PP1/1R4K1 w - - 1 26,142
5r2/pp2rBkp/3pP3/2p2p2/2Pbp3/8/P4PPP/1R1R1K2 b - - 4 26,-70
2r1r1k1/pp5p/1qn1pbp1/3p4/8/1PP1P3/P2NBPPP/2RQ1RK1 b - - 1 16,132
r2qk1nr/1bpn1pb1/p2pp1p1/6Np/Pp1PP2P/4BP2/1PPQ2P1/R2NKB1R b KQkq - 1 11,66
1r3rk1/4bppp/p1B1pn2/5b2/3P4/2N1P1P1/PP3P1P/R1B1K2R w KQ - 1 17,144
8/2p5/1pP5/pP2k3/P1R1P2p/4K1r1/r7/5R2 w - - 2 45,-185
2rqrbk1/1p1n1ppp/p2p1n2/2p1p3/2P5/1P1PPNN1/PBQ2PPP/R4RK1 b - - 2 13,14
6k1/pr2nrpp/2pB1p2/3n4/2BP4/8/P4PPP/R3R1K1 w - - 2 22,144
8/8/2k1p3/3pRbPp/1Br2P1P/2P1K3/6R1/4r3 w - - 5 75,-42
2n5/2P5/p5kP/1pB2p2/1P2p3/P3K3/8/8 w - - 5 54,283
2kr3r/pppbnpp1/1b1p2q1/8/P1NPPP1p/4B1PP/1P4BK/R2Q1R2 w - - 0 17,162
3r2k1/2r1bppp/p3pn2/1p6/8/3N1BP1/PP2PP1P/2RR2K1 b - - 5 26,29
1r3k2/5p2/p2p1np1/1p1P3p/1R3P2/P1P1r1P1/1P4K1/3R1B2 w - - 0 34,-87
6k1/3r2p1/p3ppBp/7P/1p3Pb1/1P2R3/P1Pn1B2/2K5 w - - 0 36,49
r1b1r1k1/p2n1pp1/3p1n1p/1ppP4/4P2B/2qB1N2/P4PPP/R2QR1K1 w - - 0 15,91
r2qk2r/3bbpp1/3ppn1p/pp6/P2QP2B/1BN2P2/1PP3PP/2KR3R b kq - 0 14,67
rnb2rk1/pp3p2/4p2p/q2n2p1/1b1N4/2N1P1B1/PP3PPP/2RQKB1R w K - 1 12,28
1r5k/1P4pp/3r2q1/N2pb3/4p3/6P1/2Q2P1P/1R1R2K1 w - - 3 38,143
8/6pk/1rp5/5p1p/3Pp2P/4PqP1/2Q2P2/R5K1 b - - 11 43,56
r1bqk2r/ppp2ppp/2np1n2/2b5/4PB2/2NQ4/PPP2PPP/2KR1BNR b kq - 1 7,3
8/6p1/5bk1/3r3p/R6P/5NP1/5PK1/8 w - - 9 41,0
r3k2r/2qb1pp1/3Qpb1p/p7/1pP1P2P/5P2/PP2N1P1/1K1R1B1R b kq - 0 17,-18
3R4/2p3pk/1p3p1p/1P6/4NP2/1r4P1/1n2P2P/6K1 b - - 0 39,-13
2rR2k1/4b3/6p1/p5Pp/1p3R1P/1P6/P1P1N3/1K6 b - - 0 31,42
1q2rb1k/1Bp3pp/5p2/4p3/3B4/3P2P1/4PP1P/3Q1RK1 b - - 0 25,20
2r3k1/4rpb1/1pq1p1p1/3p2Pp/P2P3P/1PNQ1P2/2PRN1K1/8 b - - 3 27,-212
r2r2k1/1b1nq1pp/pp3p2/2p1P3/2N1pP2/1P2P3/PBQ3PP/2R2RK1 b - - 1 20,114
r2q1r1k/pbp3pp/4Qb2/8/2pPP3/2N1nN2/PP2B1PP/2RR2K1 b - - 0 20,-146
r2q1rk1/1b1nppbp/1pp2np1/3p4/1PPP4/3BPN2/1B1N1PPP/R2Q1RK1 b - - 0 12,20
5rk1/1p1rbppn/1q4p1/p1pBp1P1/PnP1P2P/R2P2N1/1B2Q3/5RK1 b - - 0 25,92
r7/1p3kp1/2p2p2/p2p1n1p/3P4/2P1NPP1/PP3KP1/4R3 b - - 1 25,-10
3r1rk1/pb2q1n1/1p4QN/2pp1p2/2P4P/6P1/PPB3P1/3R1RK1 b - - 1 25,310
6k1/p3bppp/bpn1p3/4P3/4P2P/2N3P1/PP1B1PB1/6K1 w - - 1 23,21
5rk1/p4p1p/7Q/3q1R2/6r1/2P3P1/P6P/5RK1 b - - 0 27,117
8/4Q1pk/2p5/3bB2p/3Pp1q1/4P3/6P1/6K1 w - - 0 56,-25
3r4/p1r2kp1/2p1pp2/2n4p/2pP3P/P1P2PP1/1PK5/1R1R4 w - - 0 31,-17
1rbqkb1r/pp1n1ppp/2n1p3/2ppP3/3P1P2/2P2N2/PP4PP/R1BQKBNR w KQk - 3 8,35
8/4bpk1/4p1p1/4P3/4QP1p/1pK5/P2B1qPP/8 w - - 0 37,-15
8/p4pp1/Pnk1p1p1/Rp6/3P4/1Pr3P1/2P1RP1P/6K1 w - - 2 30,287
8/5pkp/5np1/p1p1p3/8/P3PB1P/1P3PP1/5K2 b - - 1 36,46
3r4/1p2kb2/2p2ppp/8/1n2P1P1/pP2K2P/P3N3/1BR5 b - - 9 44,-255
1b3r2/6p1/p1R5/P1P3k1/1P1p2p1/3P2P1/3N2K1/8 b - - 0 56,223
3r2k1/ppq1pr1p/6p1/2np1b2/3N4/2N4P/PPP1QPP1/3RR1K1 b - - 1 19,178
8/1p6/1p1k4/pB1P4/P1P4p/5Kr1/6P1/8 w - - 2 50,-450
2kr3r/1p1n1pp1/p2b1np1/3pp3/8/1PNPPBPq/PB3P1P/R2Q2KR b - - 1 17,19
r1qr2k1/pb2ppbp/2pp1np1/8/2P1P3/1PN3P1/PB2QPBP/R4RK1 w - - 3 14,49
1k1r4/ppq2p2/2p1pnr1/6p1/3P4/PBP2PQ1/1P2nP2/1KBR3R w - - 1 26,46
8/1b3p2/8/7P/2P1k3/4N1K1/5P2/8 b - - 0 65,487
3r1rk1/p3np2/2pqp1pP/1p6/2pPP3/P4N2/1P1Q1PP1/2R1K2R b K - 2 20,55
k7/p1pn3p/PpN1b3/5p2/2PN4/3P4/1P4rP/6K1 w - - 0 28,161
8/3k1N2/1q2pP2/1n1pP3/QPp5/P7/8/1K6 b - - 0 51,-194
2rr2k1/pp2ppbp/q2p1np1/8/2Pn2b1/1PN1P1P1/PB1Q1PBP/2R1R1K1 w - - 0 15,56
rn1qk2r/ppp1bpp1/4pnp1/3p4/8/1P2P1P1/PBPP1PBP/RN1QK2R b KQkq - 2 8,39
8/p6p/3k2p1/1R1pb3/8/5P2/P4PK1/8 b - - 0 38,165
1k1rr3/1pb2pp1/p1p2np1/8/2PPn3/1PBR2PP/4NPB1/3R1K2 w - - 1 25,52
2kr1bnr/ppp1pppp/2n5/3q4/2PP2b1/5N2/PP2BPPP/RNBQK2R b KQ - 0 6,-26
r3r1k1/pppn1pbp/3pq1p1/6n1/2P4P/PPN1P1P1/2Q2P2/R1BR1B1K b - - 0 19,-43
5rk1/b1p2qpp/p7/1p1p4/2nP4/2P2N1P/P4PP1/1RBQr1K1 w - - 0 30,-35
rnbqkb1r/1p1n1ppp/p3p3/2ppP3/3P1P2/5N2/PPP1N1PP/R1BQKB1R b KQkq - 1 7,56
8/3k2p1/p3p1p1/1p4Pn/1B1P3P/3KP2r/PP6/5R2 b - - 5 30,150
3r1bk1/qb3p1p/pNrp2p1/1n2B3/2N1P3/1P3P2/P2Q2PP/3RR2K w - - 1 36,297
1r2nnk1/1p1b4/3P2p1/1N3p1p/4p2P/8/4BPP1/1RR3K1 w - - 1 34,246
2b2r2/4q1kp/6p1/1p6/8/1P3p1P/P4PP1/3RR1K1 w - - 0 31,509
8/8/8/6p1/2R3P1/1k1P4/1prr3P/1R4K1 b - - 2 66,-465
r2r2k1/pp2ppbp/5np1/3q4/2QB4/1P2PN1P/P4PP1/2RR2K1 w - - 5 20,21
2r2r2/1b2bp1k/4p1p1/Pp2qP2/3pP3/P2P2Q1/1B4BP/4RR1K b - - 0 32,43
3rr1k1/p1pq2pp/1pn1bp2/1R2p3/P7/2PPP1P1/2PN3P/Q4RKB b - - 1 21,-70
5k2/p4p2/1pp1nP2/2p1P2p/1PP1K2P/P5N1/8/8 b - - 0 38,87
8/p7/4r2P/8/1P4P1/P7/3k1PK1/8 w - - 0 46,200
r1q2rk1/3nbppp/1pp1pn2/p1Pp4/1P1P1B2/P1NbPN2/5PPP/1R1Q1RK1 w - - 0 13,11
1rq2rk1/1p1nppbp/pBnpb1p1/P7/N3P3/1N5P/1PP1BPP1/R2Q1RK1 w - - 11 15,-17
2r5/5b2/6kP/6P1/1K3P2/1p1Nn3/8/6R1 b - - 10 60,-186
r3kb1r/pp3pp1/q1n1p3/2PpP2p/2P3nP/1P1Q2N1/P2N1PP1/R1B1K2R w KQkq - 1 13,-155
2rr2k1/ppp2pp1/3q1n1p/3Pp3/4P3/P1Q2B1P/1P1R1PP1/3R2K1 b - - 0 23,57
6r1/1kp4Q/1p3R2/p1p1p2P/4P3/3P4/qPP3PK/8 w - - 1 44,238
1rb1r1k1/p1p1q1pp/1n1p1p2/2p5/4PP2/2NB3P/PPP2QP1/2KRR3 w - - 0 18,73
2rr2k1/5p2/3p2p1/3b4/6Np/R1n1N2P/3q2PK/Q3R3 w - - 2 46,32
r5k1/pp3ppp/2p2bn1/3p1q2/1B1P4/6N1/PPP2PPP/4R1K1 w - - 0 22,14
1rbq1rk1/2p2pp1/2np1n1p/1pb1p3/4P3/1B1P1N1P/1PP1NPP1/R1BQ1RK1 b - - 3 12,32
r2q1rk1/1p3ppp/2p1pn2/p7/Pn1P1P2/2N1PB2/1P2QP1P/R5RK b - - 1 17,42
r2qk2r/ppp4p/2p1b1p1/5p1Q/3bPP2/8/PPPN2PP/R1B2R1K w kq - 0 14,-39
r2q2k1/p5pp/2p3r1/3bPp2/8/1PB5/P2Q2PP/R4RK1 w - - 1 22,-49
8/1nn3k1/3p1bp1/1p1Ppb2/pP2B2p/P1N1BP1P/5KP1/1N6 b - - 10 41,111
8/5k1R/8/1p1p4/1Ppp4/5PP1/r2N4/3K4 b - - 13 58,54
6k1/1p3p2/p5p1/P6p/1P2q2P/2Q3P1/5P2/6K1 w - - 9 45,1
3rr1k1/1p3p1p/pNnRp1p1/P7/1PB1P3/7P/1b3PP1/3R2K1 w - - 0 26,-27
r1bqkb1r/ppp2ppp/2np4/4P3/P2N4/8/1PP2PPP/RNBQ1RK1 w kq - 0 9,40
r4rk1/1p3ppp/2pbpn2/p7/2PP4/5BPP/PP3P2/R1BR2K1 w - - 5 16,22
1k1r4/p1p4p/1pbq2p1/6Q1/8/P2p1P2/3N1KR1/4R3 b - - 8 34,100
4r2r/pp1n2p1/2p2k2/3p1nNp/3PP2P/8/PP2NPPK/R3R3 b - - 0 20,61
1R6/p3pkb1/2n1p1p1/3pP2p/2pP1P1P/q1P1B1P1/P1Q5/5BK1 b - - 0 24,233
r1b1k2r/1pQB1p1p/p3p1p1/8/1qP5/5N2/PP3PPP/R3R1K1 b kq - 0 18,215
5rk1/pp1r1pbp/2p1pnp1/3qN1B1/3P4/2P5/PP2QPPP/R3R1K1 b - - 4 18,102
3q1rk1/r2nbpp1/1pp1pn1p/p1Pp4/1P1P1B2/P1N1PN2/4QPPP/R1R3K1 b - - 3 14,55
r1q1k1nr/ppp1ppbp/2np2p1/8/4P3/2PP1NPb/PP3PBP/RNBQ1RK1 w kq - 1 8,29
2k3r1/1bq2N1p/4p3/2P2p1Q/Pp2pb2/1P4P1/1B4P1/2R3K1 w - - 0 25,279
2rqrnk1/1p2p2p/p1npp1p1/8/2P1PN2/2R1Q2P/PP2BPP1/3R2K1 w - - 2 20,172
r1bq1rk1/1p3p1p/p4bpP/2pQN3/2B2P2/1P6/P4PP1/2R1K2R b K - 0 17,37
r2q1rk1/1p3pp1/2p1pn2/2Pp4/p2P2p1/Pn2PPP1/1PQB2BP/1R1R2K1 w - - 0 20,-72
1nrr2k1/1bq1bppp/pp2pn2/8/N1PP4/1Q6/PB1NBPPP/3RR1K1 b - - 12 19,8
B7/2k5/6pp/1b1Pp3/4P3/4K1PP/8/8 b - - 0 45,9
r1bq1rk1/1p1nppbp/6p1/p3R3/2Pp4/P2P2P1/1P3PBP/RNBQ2K1 w - - 1 13,-33
8/p1pqrpkp/2Bp1np1/3P4/8/1P1QP3/P4PPP/2R3K1 b - - 0 24,264
6r1/pp6/2p1kn2/5p1p/2P1pP1P/1P4N1/P1K1RP2/8 w - - 5 39,-50
r2q1rk1/1p1nbpp1/4p1b1/p1p3Pp/2QPPN1P/P7/1P1B1PB1/R3K2R b KQ - 1 19,25
r1bq1rk1/1pb1nppp/4pn2/pPPp4/8/P2BPN2/1B1N1PPP/R2QK2R b KQ - 2 13,148
r1bq1rk1/1p3pp1/1bpp1nnp/p3p3/P1B1P3/2PP1NNP/1P3PP1/R1BQR1K1 w - - 0 13,14
6k1/RP6/7p/1r4p1/6P1/7P/8/6K1 b - - 0 40,206
r5nr/pp1q1kpp/4pp2/3p4/1bPP4/1PN5/PB2QPPP/R4RK1 w - - 3 13,86
4k3/3b1p1p/p2p1Bp1/1p1Pp1P1/1Pn1P3/P7/4B2P/4K3 w - - 0 57,-9
r2q1rk1/pnpn2b1/1p1p2p1/3Ppp1p/1PP2P2/P1NQB1P1/5PBP/2R2RK1 b - - 0 16,120
rnbq1r1k/pp4bR/5nP1/1NppQ3/3P4/2Pp4/PP2NPP1/R1B1K3 b Q - 0 17,8
3r4/pp3k1p/2pPbN2/5p2/8/1P6/PB2B1PP/6K1 w - - 3 30,347
2br1bk1/5p2/1qn3n1/1pN4p/1P1pPBpP/3P2P1/2Q3B1/2R1N1K1 b - - 0 26,-214
6k1/1p2pp1p/r2p2p1/2n5/p7/P3P2P/1PR2PP1/4N1K1 b - - 3 30,-210
1r6/5Q2/3p2pk/4p3/2B5/4qP2/P4nPP/2RK4 w - - 7 41,-230
rnbqk1nr/pp2ppbp/2p3p1/3p4/4P3/3P2P1/PPPN1P1P/R1BQKBNR w KQkq - 1 5,-20
rn3rk1/pp2qppp/2pb1n2/4p2b/1P2P3/P1P2N1P/2QNBPP1/R1B1R1K1 b - - 2 14,73
r1b1k2r/ppqn1ppp/3bp3/8/3P4/2PB1N2/P2B1PPP/R2QK2R b KQkq - 1 11,16
r3k2r/ppp1q1pp/1bp1np2/4p3/2N1P3/1P1P4/1PP2PPP/R1B1QRK1 b kq - 5 14,34
3R1nk1/6p1/p3pp1p/2p1P3/8/4P1N1/Pq2NPPP/2R3K1 b - - 0 32,468
3k1b1r/3q1p2/n2p1p2/NprPpN1p/4P3/1Q6/P4PPP/R3R1K1 b - - 1 20,351
r3r1k1/5pbp/p2p1np1/2pP2B1/2q1PP2/2N5/1P1Q1P1P/3RR1K1 w - - 0 20,2
2rr2k1/1b2bp1p/pq2n1p1/3p4/1Pp1n3/P1B1PNN1/2B1QPPP/1R3RK1 w - - 4 23,-15
r3k2r/ppp1bpp1/2p1b3/4PnBp/8/1PN2N1P/P1P2PP1/3R1RK1 b - - 0 13,31
3r1rk1/pp3p1p/2pbbpq1/8/2B1P3/1P3PP1/PB2Q1KP/R3R3 b - - 1 21,47
7r/2p2pp1/1p2k3/p1p1Pn2/4N2p/1PP2P1P/P4KP1/3R4 b - - 0 26,-106
5k2/1prb1pp1/3q1n1p/3p4/1p6/P2BP2P/1Q2NPP1/2R3K1 w - - 2 29,143
3rr1k1/1b4q1/p3p1B1/2PnP1Q1/3n1PP1/2p5/5R2/5RK1 w - - 1 36,-278
3r2k1/4r1np/1pb3p1/p1p1Pp1P/P4P2/1P1PR1N1/2PB3K/5R2 b - - 0 42,72
r1bqkb1r/pp1n1ppp/2p1pn2/6B1/Q1pPP3/5N2/PP3PPP/RN2KB1R w KQkq - 0 7,-14
8/8/4kbp1/1p3p1p/pPr4P/P1PRP1P1/1B1K1P2/8 w - - 1 33,120
8/p4p1k/6pp/1P1Qbq2/3pN3/5P2/4KP2/8 w - - 2 38,-261
r1bq1rk1/pp2ppbp/3p1np1/4n3/2PN4/1PN1P3/PB2BPPP/R2Q1RK1 b - - 2 10,88
2r4r/1ppq2pp/p2bk3/3R1p2/P4B2/2N4Q/1PP2PPP/6K1 b - - 7 22,37
1r6/5pk1/4p3/p1n5/2pR3p/P1N5/2B2PP1/6K1 w - - 2 30,525
r4rk1/pp2q2p/2p1pn2/2Pp4/2P1P3/1P6/PB2Q1PP/R4RK1 b - - 0 21,116
1k6/7R/pp6/2r5/8/1PK5/P1P5/8 w - - 4 49,-13
5k2/6pp/4bp2/8/8/r3P3/4BPPP/1R2K3 b - - 2 30,28
8/8/4k3/R7/4r1P1/6K1/4p3/4N3 b - - 17 92,297
rnbq1rk1/pp3ppp/4p3/2pp4/2PP4/P1R1PN2/1P3PPP/3QKB1R b K - 0 10,36
6k1/R6p/6p1/5p2/p6P/4P3/r4PP1/6K1 w - - 0 25,-5
r4rk1/2q2ppp/b1p1pb2/p2pN3/4P3/1P2Q3/PBP2PPP/R2R2K1 w - - 5 17,-20
r2qk2r/1p3pp1/p3pnp1/2b1B3/3p4/5N2/PPP2PPP/R2QR1K1 w kq - 2 15,-32
6k1/2r3pp/1n1r1p2/1PN5/3B4/2P3P1/5P1P/1R3K2 w - - 5 31,127
2r2rk1/3n1p2/3p2pp/3Pp3/8/1P2q1N1/P5PP/R2Q1R1K w - - 0 21,-67
8/2r1qpk1/R1p3p1/1p1p4/2nP3p/3NP2P/5PP1/Q5K1 w - - 4 48,-100
2kr4/1p3p2/p4r2/4pnp1/P5Pp/2Pn1P1P/1P2N2K/RR6 w - - 0 33,-423
r3q3/b4p2/p1pB1k1p/5bp1/P1P5/5N2/5PPP/R2Q2K1 b - - 0 23,92
r2q1rk1/pb2bp1p/1pp1pnp1/6B1/2PP4/3Q1N2/PPB2PPP/R4RK1 w - - 0 14,75
8/8/4Nk2/7p/4p1p1/3nP1K1/5P2/8 w - - 4 76,-33
r4rk1/pb4bp/2p1Pp2/5Pp1/2B5/1N2q3/PBQ3PP/5R1K b - - 0 22,268
r2nk2r/1p1bq1bp/p1p2ppn/2P1p3/B3P3/2N1BN1P/PP3PP1/R2Q1RK1 b kq - 0 14,113
r3k2r/ppq2ppp/2pbpn2/8/3P3P/2PB1P2/PP2QP2/R1B1K2R w KQkq - 1 14,-19
4R3/5rk1/3p4/1p1P4/q1n2bQ1/p4P2/P5PP/5R1K b - - 5 48,403
8/pp2N3/2nk2p1/1p5p/7P/3P1PP1/P5K1/4R3 b - - 0 34,395
2r1k2r/p2nb1p1/1p2p2p/2pP1b2/5B2/2P2N2/PP1N1PPP/R3R1K1 b k - 2 16,125
r6r/pp1npk2/2p2bp1/3p3p/3P1B1P/3P1NP1/PP4P1/R4RK1 b - - 4 17,11
3r1r1k/2q4p/p2p2pP/1p2npP1/3QP3/P1P2R2/1P2B3/3RK3 w - f6 0 28,78
2r3r1/pp2pkb1/2p1NnR1/3p4/3P3P/2BP4/PP2K3/7R w - - 1 25,20
r4rk1/3qppbp/nn1p2p1/3P3P/2pNP3/P7/1P3PP1/R1BQRBK1 w - - 1 19,183
rn1q1rk1/pp3pbp/2p1p1p1/3nP3/2B5/5Q1P/PPP2PP1/RNBR2K1 w - - 0 12,-5
8/p7/2k5/2p1n3/3p1N2/1KP5/P7/8 b - - 3 51,-130
r1bq1rk1/pp1n1pbp/2p2pp1/8/2BP4/2P2N1P/PP3PP1/R1BQ1RK1 b - - 0 10,34
r1bqkb1r/1p1p1ppp/p1n2n2/4p1B1/4P3/3B1N2/PPP2PPP/RN1Q1RK1 b kq - 3 8,72
8/p2R2k1/1p6/2p3P1/5K2/2P5/P1P1r3/8 b - - 4 44,67
6k1/5p2/3b2p1/1p1P4/1r6/2K5/1p6/1Q6 w - - 0 52,-637
5rk1/2p3q1/1p5r/p1p1pRpP/P3P3/1P1PQ3/2P4R/6K1 b - - 0 36,81
r2q1rk1/ppp1p1bp/1nn3p1/4Pp2/3PB1b1/5N2/PPP1N1PP/R1BQK2R w KQ f6 0 12,5
8/kp6/8/p1pr1p2/P5p1/4Q3/1P1RR1PP/2q4K w - - 1 42,299
r4rk1/1pq1bpp1/2p1pn1p/p7/P2P4/1QN1PBP1/1P3P1P/R2R2K1 w - - 2 17,12
b1q2rk1/4ppb1/p4npp/1p2B3/5N1P/2P1Q3/P1P2P2/1K1R2R1 b - - 2 21,-63
kr6/prbq1pp1/Q1P2n2/1p1p2p1/P2Pp1P1/1NB1Pn1P/2K2P2/RR6 b - - 0 31,-100
2r2rk1/1pq1ppbp/4P1p1/p1P1N3/P3P3/2Q1B1P1/1P4BP/5RK1 b - - 0 21,-52
4r3/R5pk/4p3/7p/P7/5RP1/r4PPK/8 b - - 5 38,63
rr2b1k1/4n3/4q3/2p1p1p1/P1PpPpP1/5P2/4N2R/R1Q1B1K1 b - - 0 31,-205
r3k2r/1pp1q1pp/1bp2p2/4pP2/p3Q1P1/P2P4/1PPB1P1P/R3K2R b KQkq - 0 17,38
2kr4/1pp3p1/p1pr4/P3p2p/2R1P1b1/1P1PB3/1KP3P1/5R2 w - - 0 37,12
r3kb1r/1p1npppp/p1n5/1Bpp4/2PP1B2/q3P3/P2N1PPP/1R1QK2R w Kkq - 0 11,60
r2qk2r/pb3ppp/1pnb1n2/1B6/3pP3/2N2N2/PP3PPP/R1BQK2R w KQkq - 0 10,145
8/1pp3k1/3p2r1/p1nP3P/2P1Pp2/3n1Q2/PP2N3/1K6 b - - 0 28,234
r3kb1r/pp1qp1pp/1nn1p3/1N6/8/2p2N2/PP2QPPP/R1B1K2R w KQkq - 0 13,5
1r3r1k/p2q2bp/n2p2p1/1PpP1p2/1P6/2B1PBP1/2Q2P1P/2RR2K1 b - - 0 23,46
8/8/P3pR2/3p1n2/3P1k2/2r5/5PK1/6N1 b - - 2 47,78
rnb1kb1r/pp2pppp/1q3n2/3p4/3P1B2/1N6/PPP2PPP/R2QKBNR b KQkq - 2 6,-17
8/6pk/1p2Qn1p/4p3/4P3/4b1NP/6P1/rr5K w - - 3 44,-601
r2q3k/pp2b1pp/2bp4/2p1pr2/2P5/2NP2Q1/PP3PPP/2BR1RK1 b - - 1 17,-36
8/2n3k1/5pp1/1pb1pP1p/4P2P/1B6/4N1P1/5K2 b - - 1 44,-94
8/2p2kPp/1pp5/8/3BK3/2P5/1b3P1P/8 b - - 0 30,9
4k3/ppp1Pp2/2p2r2/8/4R2p/1P2B2P/P1P1KP2/6n1 w - - 4 25,28
r1bqkb1r/5p1p/p1p1pp2/8/8/2p3Q1/PPP1BPPP/R1B1K2R w KQkq - 0 12,127
rn1qnrk1/p3bppp/bp1p4/2pP4/2B1PB2/P1N5/1P1N1PPP/R2QK2R w KQ - 3 13,88
r4rk1/pp2bpp1/q1n1p1P1/3nB2p/2Np3P/2PQ1N2/PP3P2/R3K2R w KQ - 0 19,-105
b3rnk1/3r1pbp/R4np1/4p1N1/Pp2P3/1B2B1NP/1P3PP1/2R3K1 b - - 4 26,275
r3r1k1/ppbn1ppn/2p1bq1p/4pN2/4P1PP/2N2Q2/PPP2PB1/R1BR2K1 w - - 1 15,18
6k1/3q1n2/6Q1/8/P1b3P1/8/6P1/4R1K1 b - - 2 39,197
1r2r1k1/ppp2ppp/3b2b1/8/1B1P4/P3PB2/5PPP/R3K2R b KQ - 3 19,41
4rrk1/p4p1p/1p6/3Q1R2/8/2P3P1/P3q2P/5RK1 b - - 2 23,28
r6k/1pp3b1/3pb1pp/PB6/5q2/2P1N1P1/3Q1PP1/R5K1 b - - 0 27,-5
r2qr1k1/1b1nppbp/1p3np1/p1pp2B1/3P3Q/2PB1N2/PP1NRPPP/R5K1 w - - 0 15,-64
5n1k/5pbp/6p1/1q2p3/8/1BP1B2P/PP3PP1/1K1Q4 w - - 0 32,480
3r2k1/pn1q2r1/1p1pb1np/1Pp1pp2/P1P4P/3P1QN1/1B3PBP/1R2R1K1 b - - 6 24,-151
6k1/2r2p2/p2nb1pb/8/NN1P4/4P3/7K/4RB2 w - - 5 38,-94
r2qk2r/1p1n1pb1/p1p1p1p1/3pPn2/3P1P1p/1P1B1Q1P/P1P1NBP1/R4RK1 b kq - 0 14,87
