r2q1rk1/1p2ppb1/2p2n2/p5R1/P1PP4/1PNQ3P/5PP1/3R2K1 b - -,-30
Q4k2/2qp2pp/np6/p7/2P1N2r/P4P2/1P6/R4RK1 b - -,285
r1bqk2r/p4pb1/1npp3p/1p4p1/3P4/2N2NP1/PPPQBPP1/2KR3R w kq -,307
4r1k1/3b1p2/1q2n2p/2p3p1/2PpNPPb/1p1P3P/P2B2B1/R4QK1 w - -,84
8/pp3k2/8/2P4P/P7/1P1RK3/8/5r2 b - -,368
1r6/p3nkp1/2p3p1/2q1pp2/2b4Q/8/P2RPPBP/2B3K1 w - -,-74
8/r6p/3p4/1p4R1/1P1K4/7k/6p1/8 b - -,-400
8/5ppk/2B2n2/1N3R2/3Pp2p/1r2P2P/6PK/8 w - -,395
3r1rk1/1pb2pp1/1qp2n1p/p7/P2pP3/1P1N2P1/1BP1Q2P/R4R1K w - -,-4
5rk1/p2b4/Pp1r3b/1PpPpPp1/2B4p/5R1P/1P3BP1/5RK1 b - -,54
2k2b1r/ppprp1pn/4p2p/PP6/5P2/4P3/3P2PP/R1B2RK1 w - -,-253
r6r/1pq1kpp1/p2bp1p1/7n/Q1NP4/2P1P2P/PP4P1/R1B1R2K w - -,49
rn2kb1r/pp3ppp/1q2b3/2p1Q3/2B1PB2/1P6/5PPP/R2K2NR b kq -,-179
r1bqkr2/ppp2pbp/2n1p1p1/4P3/3Pp3/5N2/PPP1BPPP/R1BQ1RK1 w q -,226
r2qk1nr/p2npp1p/1p1p2p1/8/2Pb4/2NB1P1P/PP3P1R/R1BQK3 w Qkq -,-8
r2qk2r/pp2bp1p/2p1nn2/3p2p1/8/3BPN1Q/PPPP1PPP/R1B1K2R w KQkq -,76
q4rk1/2p1pp2/p5pB/4b3/8/P5P1/1PP2P2/R4QK1 b - -,-112
3q1rk1/1p4p1/1n2p2p/p7/Pb1PQ3/4PN2/1B3PPP/2R3K1 b - -,112
5rk1/1ppb1ppq/3p1n2/r3p3/P3P2P/1P1P3P/2PQ1P1K/R4R1B b - -,-421
1nr1r1k1/1p3p2/pB2pnp1/P2p4/1P1P2N1/2P3RK/7P/4R3 b - -,-228
6k1/4bppn/p2pb2p/8/2P1q3/4PN1P/1Q2B1P1/5RK1 w - -,118
