FEN,Move
r1b1kb1r/pp3ppp/2p5/2p1N3/3qN3/8/PPPP1PPP/R1BQK2R w KQkq - 1 8,e1g1
r1bqkb1r/pp2pppp/2np1n2/6B1/3NP3/2N5/PPP2PPP/R2QKB1R b KQkq - 1 6,e7e6
r1k4r/3n1p2/p2Bp2p/3nN1p1/2p5/5P2/PPP3PP/2KRR3 b - - 1 22,d7e5
2rq1rk1/1p1n1pp1/4p1p1/p2P2P1/PbQ1P3/2N4P/1P1B1P2/2KR3R w - - 3 21,c4e2
r1bqk2r/ppnpppbp/2B3p1/2p1P3/8/2N2N2/PPPP1PPP/R1BQR1K1 b kq - 0 8,d7c6
5rk1/r2qpp1p/1p4p1/p2pB3/P2P2b1/1QR1P2P/1P3PP1/2R3K1 b - - 0 21,g4e2
r4nk1/pp2q1p1/3Rpb1r/2P4p/1PB1N1p1/4Q3/5PPP/3R2K1 w - - 6 26,e4f6
r5nr/ppk1b2p/5pp1/2p1R1B1/8/2N5/PPP2PPP/3R2K1 w - - 2 17,c3d5
4k1r1/1p1b3Q/4qbp1/3p4/4p3/4B3/4rPPP/1R3RK1 w - - 0 28,b1b7
r1bqrbk1/2p2ppp/p1np1n2/1p2p3/4P3/2PP1N2/PPB2PPP/R1BQRNK1 b - - 5 11,h7h6
6k1/4K3/p3Q2p/6p1/5rP1/8/8/8 b - - 11 73,g8g7
1Q6/pp1r4/2k1r3/7p/2qP2b1/P1P5/1R1B1PPP/R5K1 b - - 8 29,e6e2
r1b1k2r/1pp2ppp/2p3n1/p3P3/1b1N4/1PN4P/PBP2PP1/3R1RK1 b - - 3 14,b4c3
1r6/2p1k1p1/4b3/p1p3P1/5P2/P1P1KB2/1P1R4/8 b - - 2 45,b8h8
8/1p2k3/1P1p1p1p/1P3Rp1/4P1KP/3P2P1/r7/8 b - - 0 37,a2d2
2rNn2k/2p2rbp/p3bpp1/2B1P3/8/6PP/PP3PB1/R2R2K1 b - - 6 22,e6c4
r1bq1rk1/pp2ppbp/2p1n1p1/2p1P3/4N3/3P1N2/PPP2PPP/R1BQR1K1 w - - 1 11,c1e3
2r5/R4pp1/4p1kp/2Pn4/3Pp3/4P1BP/5PP1/5K2 b - - 6 38,d5b4
4rrk1/4qb1p/p1p5/6p1/3QP1P1/P6P/1P1N4/4RRK1 b - - 0 28,c6c5
rn1qr1k1/pb1p1ppp/1p1R1n2/4p1N1/2P4P/1P2P3/PBQ2PP1/2K2B1R b - - 0 15,h7h6
r1bq1rk1/pp1n1ppp/4pn2/2p5/1bBP4/2N1PN2/PP2QPPP/R1B2RK1 b - - 2 9,b7b6
2b5/4p3/1P2kp2/7N/7P/4K1P1/8/8 w - - 1 46,h5g7
5rk1/R4ppp/1p1rbn2/2p5/1PP5/4N1P1/5PBP/5RK1 w - - 0 24,b4c5
2rqk2r/pp1bbp2/1n2p1pp/3pPn2/3P3P/3B1NP1/PP2NPK1/R1BQ1R2 b k - 8 18,b6c4
8/8/4PR2/2k2PK1/1p1r4/8/7P/8 b - - 3 58,b4b3
8/p7/r4pp1/2k4p/2P2P2/1K4P1/P4R1P/8 w - - 10 40,f2d2
7k/r1p4p/p1Ppb2r/P2Nb1pq/1P1pPp2/5P1P/3R2P1/2RQ1BK1 b - - 4 29,h5f7
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 4 6,f1e1
8/Kp3pk1/4p2p/2P1P1pP/1P4P1/3r4/1b6/4Q3 w - - 3 67,a7b7
5rk1/p1q2pp1/1np1p2p/2N5/b2P4/Pr2P1P1/2Q2PBP/R1R3K1 b - - 10 26,b3b4
4r2r/ppq2kpp/1b2b3/nP1p2p1/R7/B2B4/2P2PPP/3QR1K1 w - - 0 21,d1f3
r2qr1k1/pppb1ppp/3pnb2/5N2/6P1/2P1BP2/PPPQ3P/1K1R1B1R b - - 6 16,d7c6
2rqr1k1/pp1bp1bp/6p1/3P1p2/3N1B2/2N3P1/Pn1Q1PBP/R3R1K1 b - - 3 23,b2c4
2r5/1p1bk1pp/p1n5/5RN1/5p2/1BP5/PP3PPP/4K2R b K - 0 22,d7f5
2rq1rk1/1b1nbppp/pp1p1n2/4p3/P3P3/1NN1BP2/1PP1BRPP/R2Q3K b - - 2 13,c8c7
r2qk2r/1bpn2pp/1p1b1p2/p2p4/1P1P3B/P4N2/4PPPP/R2QKB1R w KQkq - 0 12,h4g3
r1b2rk1/pp1pqppp/2nQpn2/1N6/4P3/2N5/PPP2PPP/R3KB1R b KQ - 0 10,f6e8
6k1/5p2/4q1p1/b3P3/r2P1P2/1p1Q3P/1B4RK/8 b - - 2 48,e6c4
3r4/p2r2kp/4Rbp1/8/4BP1P/P5PK/4R3/8 b - - 4 36,d7d6
rnbq1rk1/ppp1bppp/3p4/8/5B2/2P2N2/PPPQ1PPP/R3KB1R b KQ - 4 8,b8d7
3r1k2/2p2pp1/1pBbn2p/7P/3P4/6P1/1BP2PK1/R7 b - - 3 28,d6e7
6k1/p4pb1/2p3p1/q1B1p1Pp/4N2P/1B3P2/PPP5/2Kn3R b - - 1 24,d1b2
r3kb1r/ppq2ppp/2p2n2/4nb2/P1N2B2/2N3P1/1P2PP1P/R2QKB1R b KQkq - 1 10,f6d7
8/8/2nkPK2/2p5/p1p2N2/PpP5/1P6/8 b - - 4 58,c6e7
