FEN,Move
4rrk1/7p/5qp1/8/1p1N4/1P1Q1P2/6R1/3R2K1 b - - 0 37,e8d8
2r3k1/p3qpp1/1p3n1p/3B4/3Q4/1P2P1P1/P4P1P/3R2K1 b - - 0 25,f6d5
8/2r2pkp/3p2p1/1p2q3/1R1Q4/1P2P3/P4PPP/6K1 w - - 2 28,g2g3
5bk1/1b3pp1/7p/1P1pB3/P3p3/4P2P/4BPP1/6K1 b - - 0 34,f8b4
6k1/2R2pp1/4p2p/3p2bP/3P4/q2NPKP1/r4P2/3Q4 w - - 7 39,c7c8
r2qkb1r/p3pppp/2p2n2/3p4/6b1/1P2P3/PBP2PPP/RN1QKB1R w KQkq - 0 8,f1e2
r2r2k1/1bq2pb1/1p2nnpp/pPp1p3/P1N1P3/2P1BPP1/2QNB2P/2KR3R b - - 2 21,a8c8
2r3k1/1p3ppp/p5q1/2Nn1n2/1P1P4/P6P/3BrPP1/RQ3RK1 w - - 5 28,a1a2
1r2r1k1/1pqb1pbp/p2p1np1/PnpP4/4P3/3B3P/1P1NNPP1/R1BQR1K1 w - - 5 19,d1c2
2rqr1k1/p2n1ppp/bppb1n2/3p4/8/1PN1PNP1/PBQP1PBP/R2R2K1 w - - 4 13,d2d3
8/3k2pp/4pn2/1p6/1N6/p1P4P/5PP1/5K2 b - - 1 38,f6d5
r3k2r/1pqn1ppp/2pb1nb1/p2pp3/6PN/PP1PP2P/1BPN1PB1/R2QK2R w KQkq - 0 12,d1e2
4R3/5Np1/r3p1p1/1Q5k/8/q5P1/5P1P/6K1 b - - 2 38,h5g4
r3kb1r/ppqn1pp1/2p2np1/3p4/3P4/1QN1P3/PP1B1PPP/2KR1B1R b kq - 1 11,a7a5
r2r2k1/ppNb1pbp/6p1/4p2n/4q3/2P1B3/PP2QPPP/R3RBK1 w - - 4 18,c7a8
4r1k1/pp1n2bp/2pn1qp1/3p1p2/P2P1B2/1NPB1P1P/1P4P1/R2Q2K1 b - - 0 18,f6f8
r4rk1/p3ppbp/2p3p1/q2p1b2/N1P1n3/1P2P3/PB2BPPP/R1Q2RK1 b - - 6 13,a8c8
4r1k1/1b3p1p/p2r1Rp1/2p5/P7/1P3PPq/1BQ1R2P/6K1 b - - 0 28,e8e2
r2q1rk1/1pp1n1b1/3p1npp/3Ppp2/1PP1P3/2N5/3N1PPP/1RBQ1RK1 b - - 2 16,g8h8
1q4k1/pp3pp1/5n1p/2b5/2P5/6PP/P1Q2PB1/3R2K1 w - - 0 23,d1d3
8/8/3k4/3B3p/r1P1PN1P/3n2P1/5P2/6K1 b - - 2 36,a4a1
2kr1n2/pp5p/1qpb2p1/3p2N1/3P1r2/2PB2PP/PP2QP2/R4RK1 b - - 0 20,f4f6
r1b1kb1r/1p2pppp/pqB5/2ppP3/6n1/2P2N2/PP1PQPPP/RNB1K2R b KQkq - 0 8,b6c6
r1bq1rk1/pp3pbp/3p2p1/3Pp3/8/1B1n1N1P/PP3QP1/RNB2RK1 w - - 1 14,f2e2
r2q1rk1/1p1nppbp/2p3p1/2Pp1b2/1P1PN3/p1B1PN2/P3BPPP/R2Q1RK1 b - - 0 13,f5e4
1k1r1b1r/ppp4p/3p1n2/3Ppqp1/2P5/P1N2N2/RPn2PPP/2BQ1RK1 w - - 0 14,b2b4
r1b1k2r/pp2qppp/3b4/2p1n3/4R3/1P3N2/PBP2PPP/RN1Q2K1 b kq - 0 12,e5f3
r5k1/4qpp1/1p3n1p/p3bQ2/P2p4/1P4PN/7P/2R1R1K1 b - - 1 27,f6d7
8/4pp1p/3pk1p1/1R1n4/1P3P2/6P1/3K3P/8 w - - 1 55,b5b7
1r1qr1k1/5pb1/6p1/pR1N3p/3Pp2P/4P1P1/P4P2/1Q3BK1 w - - 5 25,d5c3
6k1/pp6/4N2p/3pBppr/P7/6RP/6K1/8 w - - 0 36,e6g7
rn1qkb1r/1bp2ppp/pp2pn2/3p4/2PP4/1P2PN2/PB1N1PPP/R2QKB1R b KQkq - 3 7,b8d7
8/4Q2p/6pk/3q1p2/2p5/2P1P1PP/5P2/6K1 w - - 11 48,e7h4
3r4/1kp2pp1/1pb1P3/p4PK1/P5P1/1P6/1B6/5R2 b - - 0 28,f7e6
8/6Rp/2k2p2/p3P3/r7/2PKR3/5rPP/8 b - - 0 37,f6e5
4r2r/p3b2p/2p1k1pB/3nNp2/4N3/8/PPP4P/2K1RR2 w - - 4 27,e4g5
r1b2k2/pp1p1pbp/2n1n1p1/8/3N4/1P2PN2/P4PPP/3RKB1R b K - 5 17,c6d4
r1bqk2r/pp2npbp/2npp1p1/2p5/2B1PP2/2NP1N2/PPP3PP/R1BQ1RK1 w kq - 1 8,d1e1
2r1r1k1/pp1b1pbp/4p1p1/q2pP3/3P4/1B2B1QP/PP3PP1/R3R1K1 b - - 0 18,d7a4
3q2k1/5p2/1p4bp/4b1n1/N2p4/4PP2/3Q1B1P/5B1K w - - 2 38,f1g2
5rk1/p5qp/1p1P2p1/4R3/3Q2P1/3P4/P6P/6K1 w - - 23 46,d6d7
1Q5k/3qnbpp/2p2p2/8/1p1P4/8/P1B3PP/4R1K1 b - - 0 32,e7g8
r5k1/1p1qbppb/r3pn1p/3p4/p1P5/1P1P1NP1/PB2QPBP/R2R2K1 w - - 0 17,f3e5
rnbqk2r/5pbp/p4n2/1p1NpP2/8/P3BB2/1PP2PPP/R2QK2R b KQkq - 0 12,e5e4
r2q1rk1/1p1n1ppb/2p1pb1p/p2p4/3PP3/PP4P1/1BPNQPBP/R4RK1 b - - 0 14,d8b6
r1bqk2r/ppp2ppp/2pb1n2/4p3/4P3/3P1N2/PPPN1PPP/R1BQ1RK1 b kq - 3 7,c8e6
r5k1/3q1p1p/1p4p1/3p4/1n1P4/4P1P1/5PBP/R1R3K1 w - - 0 27,a1a8
rbb2rk1/1p2q1pp/p2N1n2/3p1p2/8/BP2P1P1/P1QN1PBP/R2R2K1 b - - 0 18,b8d6
6k1/1p1q3p/p4Q2/3p2p1/6P1/1P2PP2/P1rn3P/B4RK1 b - - 0 30,d2f1
6k1/p1p2p1p/1p4p1/8/2P5/1P3bP1/PN1K1P1P/4r3 w - - 0 29,d2e1
r2q1rk1/5p1p/p2b2p1/1P1p1p2/1n4n1/3BPN2/1BP2PPP/R2Q1RK1 b - - 2 16,d8b8
r1r2bk1/q6p/1R4p1/P1ppN3/4P3/7P/2Q2PP1/5RK1 b - - 0 32,a7a5
3r1rk1/pp2ppbp/2q2np1/2pp1b2/5P2/1P1PPB2/PBPN2PP/R2Q1RK1 b - - 2 12,c6c8
r1bqr1k1/pp1n2bp/2pp1pp1/5PB1/P3P2Q/2NP1N2/1P4PP/4RRK1 w - - 0 18,f5g6
8/6nk/2P1RNp1/8/1pq5/4B2P/2b2PBK/8 b - - 6 38,h7h8
8/p1RQ2pk/4qp2/3bpn1p/1B1p4/P5P1/4PP1P/6K1 b - - 9 28,e6d7
r2qr1k1/bpp2pp1/p1bp1nnp/P3p3/1P1PP3/2P2N1P/2QN1PP1/R1B1RBK1 w - - 1 16,c1b2
r2qr1k1/4ppb1/2p3pB/1p6/p1nPP1b1/2P2NP1/P4PBP/1RQR2K1 w - - 1 19,h6g7
r5k1/1pq1bppb/4p2p/p1p1P3/P1PR2NP/1P3QP1/5PB1/R5K1 b - - 0 26,c5d4
5k2/R4p1p/4p1p1/1B1r4/P7/2b1P1P1/5P1P/5K2 b - - 4 30,h7h5
r2qkb1r/pp1b1ppp/2nPp3/1B1n4/3Q4/2P2N2/PP3PPP/RNB1K2R w KQkq - 3 9,b5c6
rn1qk2r/ppp1bppb/4pn1p/3pN3/8/1P1P2P1/PBPNPPBP/R2QK2R b KQkq - 2 8,b8d7
r4rk1/ppqnppbp/8/3p4/2PpNpP1/1P2PN1P/PB2QP2/1K1R3R b - - 0 15,d5e4
5nrr/1p1nk1b1/p1p1ppp1/2Pp2P1/1P1P1P1P/3BB3/1P3K2/2N3RR b - - 1 26,h8h7
8/8/1np1k3/p3p1p1/P3P1P1/2PK4/1r1N4/R7 w - - 3 50,d2f3
r5k1/2qn1pbp/2p1pnp1/1pPp4/1P1P4/r1BBPN1P/5PP1/1QRR2K1 w - - 9 23,b1c2
5b1k/5Q1p/6p1/2qpP3/P4P1P/6PK/8/8 b - - 2 45,c5e7
3r4/1r2qpkp/R4np1/1p1pQp2/1PpP1P2/2P2PP1/2N4P/R5K1 w - - 3 30,a6c6
3qr1k1/p2r1ppn/1p2p3/2pp2P1/2P3QP/PP1PP3/5RB1/5R1K b - - 1 28,d5c4
r4rk1/1bp1qpp1/pp1bp2p/n7/P2PB3/2N1PN2/1PQ2PPP/R1R3K1 w - - 12 16,e4b7
r1bqkb1r/pp3ppp/2n1pn2/2pp4/8/1P3NP1/PBPPPPBP/RN1QK2R w KQkq - 2 6,e1g1
2rqk2r/bp3ppp/p1n1p3/3pP3/1P6/P1PQ1N1P/3B1PP1/R4RK1 w k - 1 17,a1c1
qr4k1/4Qpp1/4p1bp/1p1p4/2nP4/2B3PP/1P2PPB1/2R3K1 w - - 3 25,b2b3
1r1r2k1/2q2pp1/b1p2n1p/2P1p3/pb1p4/BP4PP/P2NPPB1/2Q1R1RK b - - 1 19,b4c3
r2r2k1/qp2ppbp/2n1b1p1/3p4/p2Pn3/P1N1PNP1/1P1B1P1P/2RQRBK1 b - - 10 18,e6f5
r5k1/rq1nbpp1/2p1pn1p/pPPp4/5B2/P1N1PN1P/5PP1/R1RQ2K1 b - - 0 18,c6b5
r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 0 7,a4b3
3r1bk1/1ppq1p1n/2n1r1p1/p2ppN2/4P3/1PPPBN1P/1P2QP1K/R3R3 w - - 0 22,e1g1
6k1/1R6/2B4p/6p1/p5P1/P6P/2P2P2/6K1 w - - 1 37,c2c4
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R b KQ - 0 6,b8d7
r2q1rk1/3nbpp1/bpp1pn1p/p1Pp4/1P1P1B2/P1NBPN1P/5PP1/R2Q1RK1 b - - 3 12,d8c8
rr1q2k1/4bppb/2p1p2p/p1npP3/8/1P1PN1P1/R1P1QPBP/R1B3K1 b - - 6 21,c5d7
r2qr1k1/pb1n1pbp/2p2np1/1pP1p3/1P2P3/2N1B3/P1QNBPPP/R2R2K1 b - - 0 14,a7a5
r1r2bk1/1b1n1pp1/1q2p2p/2n1P3/pp3Q2/5NNP/PP1B1PP1/1B1RR1K1 w - - 3 25,f4g4
r1r3k1/1bqnbppp/3ppn2/p1p5/1p1PP3/2PB1NN1/PP3PPP/R1BQR1K1 w - - 0 15,h2h3
rn1q1rk1/p4ppp/bp3n2/3p4/3p4/PPQBP3/4NPPP/R1B1K2R w KQ - 0 12,e2d4
1r3bk1/5ppn/2Q1p2p/3pP3/2nP3P/4B1NK/r4PP1/5N2 b - - 2 43,a2b2
q4rk1/4bppp/4p3/2pb4/1n1Pn3/2N1BNP1/1P2PPBP/2Q2RK1 b - - 1 16,f8c8
r1b2r1k/2p1qp1p/5n2/p1b1p1p1/PpB1P3/1N5P/1PP1QPP1/R1B2RK1 b - - 1 19,c5b6
r3r1k1/1bp2pb1/1pnq1npp/3pp3/1P2P3/P2P1NP1/1BQN1PBP/R3R1K1 b - - 0 17,f6d7
r4rk1/3nqpp1/4pn1p/p7/1pNPb3/2P5/PPBQ1PPP/R3R1K1 w - - 0 24,c2e4
2k3rr/ppqnb1p1/2n2p2/2p1pP2/P1NpP1QP/3P2P1/1PP2R1K/R1B3N1 b - - 0 20,c8b8
2n3k1/5pp1/4p1r1/3pP1p1/1p1P2P1/1P3N1P/R6K/8 b - - 1 47,c8e7
r1bqkb1r/1p1npppp/p2p1n2/2p5/4P3/2PB1N2/PP1P1PPP/RNBQ1RK1 b kq - 0 6,e7e6
8/8/p1pb4/1p1n1p1k/1P1P4/PN1K1P2/3B4/8 w - - 13 47,b3a5
7R/1n3p2/p1p1rk2/Pp1p2p1/1PnP2P1/3NPP2/5K2/3N4 b - - 0 40,f6g7
r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 0 7,a4b3
2Q5/p5k1/4pq1p/8/1r4pN/1n1B2P1/5PPK/8 w - - 2 31,c8c7
1r5k/4p2p/r2n1bp1/P7/3pp3/6P1/R3PPBP/2R1B1K1 b - - 0 28,h8g7
1n2r1k1/5pbp/r2p1np1/pNpPp3/P1P5/1qB3P1/3QRPBP/4R1K1 w - - 2 28,b5c7
3r1rk1/1p2ppbp/pqn2np1/8/1PB1P1b1/P4N2/1B1NQPPP/2R2RK1 w - - 1 16,d2b3
8/4k3/3p1p2/3Pb3/4P1Q1/3q2Pp/7P/5R1K w - - 1 55,g4h3
2r3k1/1b3pp1/1P2p3/7q/5P1p/4P2P/2RQ1RP1/6K1 b - - 2 37,c8a8
1R2R3/r1r2p1k/6pb/p6p/P1nPB3/2P5/4N1PP/4K3 b - - 4 40,h6d2
rn1q1r1k/pp4bp/2p1Q3/5p2/2PP4/1P3N1P/PB3K2/R6R w - - 2 18,h1g1
r5k1/p1qb3p/2p1prp1/P1Np1n2/1P6/2P2N2/5PPP/R2QR1K1 w - - 2 23,f3e5
8/p3nkp1/4pp2/3q4/2Q5/P1R5/KP3P2/8 w - - 5 35,c4d5
5nk1/4Q3/4pB2/3p1p2/1p3P2/1P1N3P/4K3/6q1 w - - 4 52,f6b2
3r1r1k/pb1q2pp/3b1p2/2p5/2B1pP2/2B1P3/PP4PP/R2Q1RK1 w - - 2 19,d1h5
rnbq1rk1/ppp1ppbp/3p1np1/8/3PP3/1BN2N2/PPP2PPP/R1BQK2R b KQ - 4 6,b8c6
3r1r1k/pp5p/2p2q2/2P1bp2/1P4pP/3NPpP1/P2R1P2/1R1Q2K1 b - - 3 26,e5b8
2rq1rk1/p4ppp/1pbp4/4p3/P1BnP3/1P1QP2P/2PN2P1/R2R2K1 b - - 0 20,d4e6
1q3rk1/1p2bppp/p1n2n2/1r2p3/1PN5/P3PN2/1BQ2PPP/R2R2K1 w - - 1 19,a1c1
4rrk1/pp3pbp/3p4/1N1Pqp2/8/1B1Np2P/PP2Q1P1/R5K1 b - - 1 23,e5f6
r1b2rk1/ppp1n1pp/3q4/3pp3/3P4/7P/P1P2PP1/R1BQRBK1 w - - 0 17,e1e5
1r4k1/2RR4/8/8/4b1PK/8/8/8 w - - 27 68,h4g3
1r3r2/4b1pk/2p4p/p1P5/1nN5/P1N1Bp2/1P3PPP/2KR4 b - - 0 30,b4d5
r3kb1r/ppq2ppp/2p5/3pn3/4n3/1P4PP/PBPPQPB1/RN2K2R w KQkq - 2 11,g2e4
q7/5pk1/1r3bp1/2Rp1p1p/P2N3P/1P1QP1P1/5PK1/8 b - - 2 30,b6b4
3r1b1k/5qpp/5p2/3Np2P/R3P1Q1/1p4P1/1P3PK1/8 b - - 1 37,f6f5
r2q1rk1/1ppnbppb/4p2p/p2p4/2P5/PP1P2P1/1B1NPPBP/R2Q1RK1 b - - 0 12,c7c6
2rrq1k1/1b3pb1/1p1p2pp/4p3/pPP1n3/P3PN2/4BPPP/1QRRB1K1 w - - 0 23,f3d2
r2r2k1/2q2pbp/2pp2p1/p1n2b2/2P1p3/BPN1P3/P1QRBPPP/3R2K1 b - - 3 21,c5d3
8/p4pkp/r4Np1/2p1P3/2PnP3/4QqP1/7P/1R4K1 w - - 7 40,e3f3
4rrk1/pppqbppp/2np1n2/8/3P2b1/2PB1N1P/PP3PP1/R1BQRNK1 b - - 0 12,g4f5
rn3rk1/1q3pbp/pp1ppnp1/8/2PN4/1PN1P3/PB3PPP/2RQ1RK1 w - - 0 14,d1e2
r4rk1/pp5p/2n1Q1p1/2q5/8/3BP3/PPP3PP/2KR3R b - - 0 18,g8g7
rnbq1rk1/1p2ppbp/2p2np1/p2p4/2PP4/1P1BPN2/PB3PPP/RN1QK2R w KQ - 0 8,b1c3
5r2/p2kbpRQ/1pbpq3/4p3/4P3/1NP2R2/P1P5/1K6 w - - 6 35,f3f7
6rk/2r2p1p/4pP1b/3pP2P/1qnP4/1p1Q1N2/1P2R2N/3R3K w - - 5 34,d1g1
r1bqr1k1/1pp2ppp/1p3n2/8/1P6/P2pP1P1/2QP1PBP/R1B2RK1 w - - 0 15,c2c3
r1b2rk1/p1q1bp1p/3p2pP/2pPp3/4P1P1/2P1BP2/P2QB2K/1R3R2 w - - 0 24,f3f4
8/7k/1Rp1P3/5K1P/p2P1P2/1p6/8/4r3 w - - 4 60,f5f6
r2q1rk1/1bp1bppp/p7/1p1np3/P7/1N1P1N1P/1PP2PP1/R1BQR1K1 b - - 0 13,d5b4
4r1k1/1p2n1pp/p1r2n2/3p1p2/3P1N2/1PN1PP1P/P3K3/2R4R w - - 1 26,e2d2
r2r4/1p2kppp/4pb2/p2P4/b3B3/P5B1/1P3PPP/2KRR3 w - - 3 22,d1d2
r4rk1/pppqbppb/4pn1p/3p4/4P3/1P1P2P1/PBPNQPBP/R3K2R b KQ - 2 11,f8d8
8/p7/2k1b1K1/1p6/7p/1P2NP2/P2R2P1/7r w - - 0 53,g6f6
r3k2r/pp2qp2/3p3p/2p1nQp1/3pP3/2P3BP/PP3PP1/3R1RK1 b kq - 0 18,d4c3
r3r1k1/1p3pp1/1qp4p/p1b1B3/8/PP2P1PP/3NQPK1/R1R5 b - - 0 21,e8e5
2rr4/pb2bkp1/1q6/1ppB4/8/PP6/1BQ2PPP/3R1RK1 b - - 0 23,b7d5
2rr2k1/pbpnqpbp/1p2p1p1/8/3PP3/1P3N2/PBQ1BPPP/3RR1K1 w - - 3 16,e2c4
r2r2k1/pp2qp1p/5bp1/1N1pn3/1P6/2P1P3/P2QBPPP/R2R2K1 b - - 6 19,a7a6
3rk2r/2q2pR1/p1p2n2/8/4pP1p/BP5P/P3BQP1/2b4K w k - 0 24,a3c1
r4rk1/p2n1ppp/1q3b2/1N2p3/3pP3/1P6/PB2QPPP/2RR2K1 w - - 2 18,b5c7
8/5pkb/5p1p/3N4/2P1P1P1/5P1P/3rn2K/R4B2 w - - 5 39,f1e2
8/5ppk/6p1/p2P4/5P2/1PQK1P2/8/4q3 b - - 4 44,e1d1
rnbq1rk1/pp2ppbp/5np1/2Pp4/2P5/1P2PN2/PB3PPP/RN1QKB1R b KQ - 0 7,d8a5
8/7k/6p1/2p2p1p/1p1b1P1P/1P2p1P1/P3Q1RK/3q4 b - - 60 74,d1b1
r3r1k1/5ppp/8/q2p4/6b1/p2BP3/1Q1N1PPP/R4RK1 w - - 0 22,b2d4
r5qr/p3nk2/3pNp1p/1ppP4/5PP1/8/PPbQ4/2K3RR w - - 0 24,d2c2
2rr2k1/4bppb/q3pn1p/p1pp4/P3PP2/1PBP2PP/3N2BK/2RRQ3 b - - 0 24,c8b8
5k2/8/8/5Bp1/2RK2P1/7P/n6r/8 w - - 7 51,d4e5
4n3/5ppk/8/3p3p/4p3/1P2P2P/1r1N1PP1/3RK3 b - - 3 32,e8c7
6n1/3b1kp1/3b4/3Bp3/2R4P/4P1P1/5P2/6K1 b - - 4 37,f7f8
2rr2k1/1bqpbpp1/ppn1pn1p/8/2P1N3/PP1BPN2/1B3PPP/1QRR2K1 b - - 7 16,f6e4
rn1qk1nr/1bppppbp/p5p1/1p6/3PP3/1B3N2/PPP2PPP/RNBQK2R w KQkq - 2 6,e1g1
r2q4/5bkp/2p2pp1/2rp4/3N4/4P3/3Q1PPP/1RR3K1 b - - 1 28,c5c4
r2q1rk1/1pp2pbp/2bp2p1/p3n3/2P5/1PN1P3/PB1QBPPP/2R2RK1 w - - 4 14,f1d1
2b1k2r/2qnbppp/8/1Q2P3/5P2/4BN2/1N4PP/2R3K1 b k - 2 22,c7b7
rnb1r1k1/pp1p1p1p/1q3bp1/8/8/1PP1PN2/P3BPPP/RN1QK2R b KQ - 1 11,d7d5
r4rk1/pp1qb1pp/2npb3/2pQp1B1/4P3/2N3PB/PPP2P1P/R4RK1 b - - 4 14,c6d4
4k3/5Rpp/4B3/p3p3/P7/4P1P1/1r3PKP/4b3 b - - 4 37,e5e4
8/p1R2pkp/3p2p1/1q2b3/p3P3/1r2P1P1/Q6P/2R3K1 b - - 0 37,b5d3
6kr/1b1nqpb1/pn1N2p1/4p1Np/4P2P/BP3PP1/PKP5/3R1B1R b - - 4 22,g7f8
3r2k1/3r1p2/1p3np1/8/p1P2PPp/1P1pRN1P/P5K1/3R4 b - - 1 35,a4b3
r1br4/pp1qppkp/2n3p1/3n4/1P6/PQ2PN2/3N1PPP/2R1KB1R w K - 2 15,f1b5
4r1k1/5ppp/b1q5/3B2n1/4P3/P3R1P1/5NKP/8 w - - 0 39,d5c6
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/8/1P3NP1/PBPPPPBP/RN1QK2R w KQkq - 0 6,e1g1
5rk1/1p4p1/1Qr5/p5pP/P5p1/1P2P3/4KP2/3R3R b - - 0 27,c6b6
8/7p/3k4/p2N1P2/4K2P/1P6/1b6/8 b - - 0 60,h7h5
rn1qk2r/pp2npbp/2p1p1p1/3pP3/3P2b1/2PB1N2/PP1N1PPP/R1BQK2R w KQkq - 2 8,h2h3
3r1rk1/1q2bpp1/2n4p/1p2P3/1Pp1Q3/2P2NP1/5P1P/R1B1R1K1 b - - 4 26,d8d3
2k2r2/1bp1q1b1/Bp2p2p/3nN2P/P2P4/2P3N1/1P2Q1P1/5RK1 b - - 0 27,f8f1
r2qnrk1/1pp2pbp/2n3p1/p3p3/4P1b1/PPN2NP1/1BP2PBP/R1Q2RK1 b - - 1 13,g4f3
r4qk1/pb3r1p/1p2Rpp1/3P1p2/2P4Q/P7/1B3PPP/R5K1 w - - 3 22,a1e1
1n6/p1b5/2P1k3/1P3p1p/P3p3/6PK/7P/3R4 b - - 5 45,e6e5
r3rbk1/ppqn1ppb/2p2n1p/4p3/4P1P1/PP3N1P/1BPNQPB1/3RR1K1 w - - 4 17,b3b4
r2q1rk1/1pp1npbp/2n1b1p1/4p3/p1N5/P1BP1NP1/1P2PPBP/2RQ1RK1 b - - 3 12,f7f6
r2qkb1r/pbpn1ppp/1p2pn2/3p4/3P4/1P3NP1/PBP1PPBP/RN1Q1RK1 b kq - 0 7,c7c5
q1r3k1/pb2ppbp/5np1/4n3/3N4/BB2PP2/P2N2PP/2Q2RK1 w - - 1 18,c1b1
8/5pk1/1pR2rp1/P1bP1q1p/7P/5BP1/4QPK1/8 b - - 0 34,f6c6
r4k2/p2n1pp1/1p2b2p/1B1p4/8/P3PN2/P2K1PPP/7R w - - 1 19,b5d7
2rq1rk1/1b3ppp/1pn1pn2/p1b5/8/PP2PNP1/1B1NQPBP/R3R1K1 b - - 5 15,d8e7
r3r1k1/p4ppp/8/3pb1q1/4p3/1P2P2P/P1Q2PP1/2RR1NK1 b - - 1 19,a8d8
r3rbk1/3n1ppb/1q2p2p/pp1P4/8/1P1P1NP1/1BP1QPBP/R2R2K1 b - - 0 19,e6d5
2r1r1k1/1b1q1pp1/pp2nb1p/3p4/1P1Nn3/P2QPN2/1B3PPP/2RR1BK1 b - - 3 20,e8d8
2r1r1k1/pb2bpp1/1q2pn1p/1P2B3/P1P5/1N6/4QPPP/1BRR2K1 b - - 0 23,a7a5
r3k2r/ppqbbp1p/n1pp2p1/4p3/3PP3/2N1B1PP/PPP1QPB1/2KR3R w kq - 4 14,f2f4
6k1/pq3p2/2R1p1pp/8/2Qp4/1Pn3P1/5P1P/6K1 b - - 5 34,g8h7
3rr1k1/pp3pp1/2pbpn2/4Nqp1/2PP4/PP5P/1B2QPP1/3RR1K1 b - - 3 20,c6c5
rr4k1/q4p2/2Rbpnpn/p2p4/3P1P2/PP1Q2PB/KB1N3P/7R b - - 12 27,d6b4
r4r1k/2pqbp1b/1nn1p3/3pP1p1/5RP1/1P1P1N2/1BN2P2/1Q2RBK1 w - - 0 25,f4f6
3rrnk1/4qppn/2pb2p1/p2pp1P1/Pp5P/1P1PP2B/1BPNQPK1/6RR b - - 3 20,e7a7
r2q1rk1/pb2bppp/2n2n2/2pp4/8/1P1BPN2/PB1N1PPP/R2Q1RK1 w - - 0 12,a1c1
q1bk1b1r/p2n1ppp/5n2/1p6/2pP1B2/8/1P1QNPPP/R3KB1R b KQ - 1 14,f6d5
3r1rk1/1pp2ppp/3q2n1/pP1n1b2/P1BP4/5N2/Q2N1PPP/R3R1K1 w - - 1 20,c4d5
8/P1k5/5P2/3b4/7p/3B4/8/5K2 w - - 1 57,a7a8r
8/pp3pk1/1n4p1/1P6/P7/1Bb1P1P1/5P1N/6K1 b - - 4 33,b6d7
1r3knQ/2r1pp2/3pB1p1/2pP2P1/2P5/4R3/2q2PK1/R7 b - - 3 35,f7e6
3k4/8/2p5/5p2/P2n4/2r1n2R/3R2B1/1K6 b - - 4 41,c6c5
rn1q1rk1/1pp1bppb/4pn1p/p2pN3/8/1P1P2P1/PBPNPPBP/R2Q1RK1 w - - 0 10,a2a3
2Rnk2r/1b2b1pp/p3pp2/1p1n4/4N3/1P2PB1N/PB3PPP/3R2K1 b - - 0 19,b7c8
2r5/5pkn/1p2p1p1/pNb5/P1P1p2P/1P2P3/4NPK1/3R4 b - - 2 36,h7f6
3r2k1/6p1/1p3bRB/p2p4/3q4/7P/PP3PPK/2Q5 w - - 1 38,h6e3
2rqr1k1/pp3ppp/2nbpn2/3p3b/3P2P1/PP1B1N1P/1BPN1P2/R2QR1K1 b - - 0 14,h5g6
3k1r2/3P3p/1pq2n2/p1p1B3/P6Q/6PP/8/3R2K1 w - - 5 55,d1d6
r2r2k1/pbq1bppp/2n1pn2/2p5/2Pp4/1P2PNP1/PB1NQPBP/R2R2K1 w - - 0 14,e3d4
3k3r/1p3Q1P/2pq1p2/p1b1p3/4R3/2r3P1/B3RPK1/8 b - - 0 51,d6f8
r1bqnrk1/ppp2ppp/3p4/2bP4/8/8/PPP2PPP/RNBQRBK1 w - - 0 12,b1c3
8/4n1k1/p5p1/1p3pP1/1P1K4/PB1pP3/5P2/8 b - - 1 46,d3d2
r2q1rk1/1b2bpp1/2n1p2p/1pp1P2P/3p4/pPnP2P1/P1PN1PBN/R1BQR1K1 w - - 4 20,d1g4
r7/5pk1/2b2p1p/4q3/3R4/3BP1P1/5P1P/1Q4K1 w - - 4 41,b1d1
3R2bk/4r2p/1R5P/4pKN1/8/8/8/4r3 w - - 2 63,d8g8
r2r2k1/3nqppp/1p2pn2/p1bb4/8/PP2PN2/1B1NBPPP/RQ1R2K1 w - - 4 15,d2c4
r2q3r/pp1n4/2p1kPRn/3p3p/2PP4/1P1Q1P2/PB1N4/2K1R3 b - - 2 28,e6d6
rn1q1rk1/1bp1ppbp/1p3np1/3p4/p4P2/1P1PPNP1/PBP1Q1BP/RN3RK1 b - - 0 10,b8d7
1k1r4/pp6/4Q3/2p1BP1p/2P5/1P2P1q1/P4RPn/7K b - - 1 36,b8a8
6k1/1p1Rqb1p/p2n1np1/3p1p2/1P1N4/PB2P2P/2Q1NPP1/6K1 b - - 0 31,e7d7
8/p4pk1/3q1bp1/7p/P1R1Q3/1P5P/4K1P1/8 b - - 18 44,d6g3
rnb2rk1/pp3pbp/6p1/2qp1p2/8/1PP1PNP1/P2Q1P1P/RN2KB1R w KQ - 3 11,f1g2
r2qrbk1/p2b1ppp/5nn1/1Bpp4/8/P1N1PN2/1PQB1PPP/2R2RK1 w - - 4 16,b5d7
1k1r1b2/pp1R1p2/1np2pp1/N7/1P3P2/P4BPP/6K1/2R5 b - - 0 29,d8d7
r5k1/2q2pbp/rpn1p3/3p1p2/2p2P2/2P2NP1/PRQP1P1P/1R3BK1 b - - 3 22,c6e7
